Id,Price,Age_08_22,KM,Fuel_Type,HP,Color,Automatic,CC,Doors,Cylinders,Gears,Mfr_Guarantee,ABS,Airbag_1,Airbag_2,Airco,CD_Player,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Metallic_Rim
,,,,,,,,,,,,,,,,,,,,,,,
1,13500,23,46986,Diesel,90,Blue,0,2000,3,4,5,0,1,1,1,0,0,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
2,13750,23,72937,Diesel,90,Silver,0,2000,3,4,5,0,1,1,1,1,1,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
3,13950,24,41711,Diesel,90,Blue,0,2000,3,4,5,1,1,1,1,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
4,14950,26,48000,Diesel,90,Black,0,2000,3,4,5,1,1,1,1,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
5,13750,30,38500,Diesel,90,Black,0,2000,3,4,5,1,1,1,1,1,0,1,1,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,
6,12950,32,61000,Diesel,90,White,0,2000,3,4,5,0,1,1,1,1,0,1,1,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,
7,16900,27,94612,Diesel,90,Grey,0,2000,3,4,5,0,1,1,1,1,0,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
8,18600,30,75889,Diesel,90,Grey,0,2000,3,4,5,1,1,1,1,1,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
9,21500,27,19700,Petrol,192,Red,0,1800,3,4,5,0,1,1,0,1,0,1,1,1,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,
10,12950,23,71138,Diesel,69,Blue,0,1900,3,4,5,0,1,1,1,1,0,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
11,20950,25,31461,Petrol,192,Silver,0,1800,3,4,6,1,1,1,1,1,1,1,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,
12,19950,22,43610,Petrol,192,Red,0,1800,3,4,6,1,1,1,1,1,0,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
13,19600,25,32189,Petrol,192,Red,0,1800,3,4,6,1,1,1,1,1,0,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
14,21500,31,23000,Petrol,192,Black,0,1800,3,4,6,1,1,1,1,1,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
15,22500,32,34131,Petrol,192,Grey,0,1800,3,4,6,1,1,1,1,1,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
16,22000,28,18739,Petrol,192,Grey,0,1800,3,4,6,0,1,1,1,1,0,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
17,22750,30,34000,Petrol,192,Grey,0,1800,3,4,5,0,1,1,1,1,1,1,1,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,
18,17950,24,21716,Petrol,110,Blue,0,1600,3,4,5,0,1,1,0,1,0,1,1,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
19,16750,24,25563,Petrol,110,Grey,0,1600,3,4,5,0,1,1,1,1,1,1,1,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,
20,16950,30,64359,Petrol,110,Grey,0,1600,3,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
21,15950,30,67660,Petrol,110,Blue,0,1600,3,4,5,1,1,1,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
22,16950,29,43905,Petrol,110,Grey,1,1600,3,4,5,0,1,1,1,1,0,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
23,15950,28,56349,Petrol,110,Black,0,1600,3,4,5,0,1,1,1,1,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
24,16950,28,32220,Petrol,110,Black,0,1600,3,4,5,1,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
25,16250,29,25813,Petrol,110,Grey,0,1600,3,4,5,1,1,1,1,1,1,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,
26,15950,25,28450,Petrol,110,Blue,0,1600,3,4,5,0,1,1,1,1,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
27,17495,27,34545,Petrol,110,Blue,0,1600,3,4,5,1,1,1,1,1,1,1,1,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,
